LD-NE	-52.10	9.79	-4800	11.3	3  Demerara__LINE_D___Greenroyd_etal._GJI_2008
A1E  -39.7167 -1.2500  -3840  12.97  2.22    Houtz_etal.GSA1977
A1W  -40.4167 -0.9833  -3790  12.02  2.22    Houtz_etal.GSA1977
A2E  -39.9500 -0.6333  -4000  12.60  2.22    Houtz_etal.GSA1977
A2W  -40.5000 -0.3500  -3940  12.46  2.22    Houtz_etal.GSA1977
A3E  -38.9167  0.9167  -4490  10.99  2.22    Houtz_etal.GSA1977
A3W  -39.2500  1.0500  -4460  10.62  2.22    Houtz_etal.GSA1977
C5NE -46.8000  4.9667  -3820  14.45  2.22    Houtz_etal.GSA1977
C5SW -46.6167  5.4167  -3600  14.43  2.22    Houtz_etal.GSA1977
B8SW -44.5500  2.1500  -4100  13.69  2.22    Houtz_etal.GSA1977
B8NE -44.6500  2.8667  -4100  12.34  2.22    Houtz_etal.GSA1977
B10  -42.8000  2.8333  -4350  10.67  2.22    Houtz_etal.GSA1977
 L12P1  -81.50 -10.98  -4000   10.2   1.0   Hussong_etal_76 
 L12P2  -82.13 -10.23  -4500    9.8   1.0   Hussong_etal_76 
 L23P2  -82.13 -10.23  -4500    9.4   1.0   Hussong_etal_76 
 L23P3  -83.07 -10.53  -4500    9.9   1.0   Hussong_etal_76 
   A2S  -82.32  -8.73  -4300   13.0   1.0   Hussong_etal_76 
   A20  -82.62  -7.85  -4300   10.9   1.0   Hussong_etal_76 
  A20b  -82.62  -7.85  -4300   11.6   1.0   Hussong_etal_76 
   A2E  -81.68  -7.55  -4600   11.7   1.0   Hussong_etal_76 
   P20  -79.30  -8.63   -100   29.9   1.0   Hussong_etal_76 
   P21  -80.05  -7.33   -100   30.5   1.0   Hussong_etal_76 

asp102  -86.3  -12.0   -4500   10.7   2.0   Hussong_etal_76
asp104  -81.7  -12.0   -4900   11.2   2.0   Hussong_etal_76
asp108  -80.45 -12.0   -4100   15.6   2.0   Hussong_etal_76
asp109  -79.95 -12.0   -4200   13.1   2.0   Hussong_etal_76
asp111  -79.0  -12.0   -6000   10.6   2.0   Hussong_etal_76  trench
 L18M   -80.8   -9.4   -5700   12.0   2.0   Hussong_etal_76 near trench
14-15W  -49.18 -34.50  -3450   15.2   2.0   Leyden_etal_71 
14-15E  -48.28 -34.00  -3450   15.2   2.0   Leyden_etal_71 
16-17W  -47.88 -33.98  -4133   14.2   2.0   Leyden_etal_71 
16-17E  -46.60 -33.87  -4133   14.2   2.0   Leyden_etal_71 
18-19W  -45.43 -33.95  -4193   11.0   2.0   Leyden_etal_71 
18-19E  -44.07 -33.38  -4193   11.0   2.0   Leyden_etal_71 
   20W  -42.42 -33.28  -4490   10.8   2.0   Leyden_etal_71 
   20E  -41.82 -33.20  -4490   10.8   2.0   Leyden_etal_71 
21-22W  -40.77 -33.08  -4727    9.7   2.0   Leyden_etal_71 
21-22E  -39.77 -32.90  -4727    9.7   2.0   Leyden_etal_71 
   23W  -40.08 -31.40  -3753   10.0   3.0   Leyden_etal_71 
   23E  -39.72 -31.10  -3960   10.1   3.0   Leyden_etal_71 
23-24W  -40.08 -31.40  -3960    9.9   3.0   Leyden_etal_71 
